time, R
1.387438,0.890653
1.388636,0.890238
1.389835,0.889824
1.391034,0.889409
1.392234,0.888995
1.393434,0.888581
1.394635,0.888167
1.395837,0.887754
1.397039,0.887341
1.398242,0.886927
1.399445,0.886514
1.400649,0.886102
1.401853,0.885689
1.403058,0.885277
1.404264,0.884865
1.405471,0.884453
1.406678,0.884042
1.407885,0.883630
1.409094,0.883219
1.410303,0.882808
1.411512,0.882397
1.412723,0.881987
1.413934,0.881577
1.415145,0.881167
1.416358,0.880757
1.417571,0.880348
1.418785,0.879939
1.419999,0.879530
1.421215,0.879121
1.422431,0.878713
1.423647,0.878304
1.424865,0.877897
1.426083,0.877489
1.427302,0.877082
1.428522,0.876674
1.429743,0.876268
1.430964,0.875861
1.432186,0.875455
1.433410,0.875049
1.434633,0.874643
1.435858,0.874238
1.437084,0.873833
1.438310,0.873428
1.439538,0.873023
1.440766,0.872619
1.441995,0.872215
1.443225,0.871812
1.444456,0.871408
1.445687,0.871005
1.446920,0.870603
1.448154,0.870200
1.449388,0.869798
1.450624,0.869397
1.451860,0.868995
1.453098,0.868594
1.454336,0.868194
1.455576,0.867793
1.456816,0.867393
1.458058,0.866993
1.459300,0.866594
1.460544,0.866195
1.461788,0.865796
1.463034,0.865398
1.464281,0.865000
1.465528,0.864602
1.466777,0.864205
1.468027,0.863808
1.469278,0.863412
1.470531,0.863016
1.471784,0.862620
1.473039,0.862225
1.474294,0.861830
1.475551,0.861435
1.476809,0.861041
1.478069,0.860647
1.479329,0.860254
1.480591,0.859861
1.481854,0.859468
1.483118,0.859076
1.484384,0.858684
1.485651,0.858293
1.486919,0.857902
1.488189,0.857511
1.489459,0.857121
1.490731,0.856731
1.492005,0.856342
1.493280,0.855953
1.494556,0.855565
1.495834,0.855177
1.497113,0.854789
1.498394,0.854402
1.499676,0.854016
1.500959,0.853630
1.502244,0.853244
1.503531,0.852859
1.504819,0.852474
1.506108,0.852090
1.507399,0.851706
1.508692,0.851323
1.509986,0.850940
1.511282,0.850558
1.512580,0.850176
1.513879,0.849795
1.515180,0.849414
1.516482,0.849034
1.517786,0.848654
1.519092,0.848275
1.520400,0.847896
1.521709,0.847518
1.523021,0.847141
1.524334,0.846763
1.525649,0.846387
1.526965,0.846011
1.528284,0.845636
1.529604,0.845261
1.530927,0.844886
1.532251,0.844513
1.533577,0.844139
1.534905,0.843767
1.536236,0.843395
1.537568,0.843023
1.538902,0.842653
1.540239,0.842282
1.541577,0.841913
1.542918,0.841544
1.544261,0.841175
1.545606,0.840808
1.546953,0.840441
1.548302,0.840074
1.549654,0.839708
1.551008,0.839343
1.552364,0.838978
1.553722,0.838614
1.555083,0.838251
1.556447,0.837889
1.557813,0.837527
1.559181,0.837166
1.560552,0.836805
1.561925,0.836445
1.563301,0.836086
1.564679,0.835728
1.566060,0.835370
1.567444,0.835013
1.568831,0.834657
1.570220,0.834301
1.571612,0.833946
1.573006,0.833592
1.574404,0.833239
1.575805,0.832886
1.577208,0.832535
1.578614,0.832183
1.580024,0.831833
1.581436,0.831484
1.582852,0.831135
1.584270,0.830787
1.585692,0.830440
1.587117,0.830094
1.588545,0.829749
1.589977,0.829404
1.591412,0.829061
1.592850,0.828718
1.594292,0.828376
1.595737,0.828035
1.597186,0.827694
1.598638,0.827355
1.600095,0.827017
1.601554,0.826679
1.603018,0.826342
1.604485,0.826007
1.605957,0.825672
1.607432,0.825338
1.608911,0.825005
1.610395,0.824673
1.611882,0.824342
1.613374,0.824012
1.614870,0.823683
1.616370,0.823355
1.617875,0.823028
1.619384,0.822703
1.620898,0.822378
1.622416,0.822054
1.623939,0.821731
1.625467,0.821409
1.627000,0.821089
1.628538,0.820769
1.630081,0.820451
1.631629,0.820133
1.633182,0.819817
1.634740,0.819502
1.636304,0.819188
1.637874,0.818875
1.639449,0.818564
1.641030,0.818254
1.642616,0.817944
1.644209,0.817637
1.645807,0.817330
1.647412,0.817025
1.649023,0.816720
1.650641,0.816418
1.652265,0.816116
1.653896,0.815816
1.655534,0.815517
1.657178,0.815219
1.658830,0.814923
1.660489,0.814628
1.662156,0.814335
1.663830,0.814043
1.665512,0.813753
1.667201,0.813464
1.668899,0.813176
1.670606,0.812890
1.672321,0.812606
1.674044,0.812323
1.675777,0.812041
1.677518,0.811762
1.679270,0.811483
1.681030,0.811207
1.682801,0.810932
1.684582,0.810659
1.686373,0.810388
1.688175,0.810118
1.689988,0.809850
1.691812,0.809584
1.693648,0.809320
1.695496,0.809057
1.697356,0.808797
1.699229,0.808538
1.701115,0.808282
1.703015,0.808027
1.704928,0.807775
1.706856,0.807525
1.708799,0.807276
1.710758,0.807030
1.712732,0.806786
1.714723,0.806545
1.716732,0.806306
1.718758,0.806069
1.720803,0.805834
1.722867,0.805602
1.724951,0.805373
1.727056,0.805146
1.729183,0.804922
1.731334,0.804700
1.733508,0.804481
1.735707,0.804266
1.737933,0.804053
1.740186,0.803843
1.742469,0.803636
1.744783,0.803433
1.747130,0.803233
1.749511,0.803036
1.751930,0.802843
1.754388,0.802654
1.756888,0.802469
1.759434,0.802288
1.762028,0.802111
